,name,address,sido,gugun
0,동대문1호,서울 중구 창신동 464-6,서울,중구
1,신당1호,서울 중구 신당동 846,서울,중구
2,망우본동,서울 중랑구 망우동 149-7,서울,중랑구
3,면목1호,서울 중랑구 면목본동 72-43,서울,중랑구
4,면목2호,서울 중랑구 면목2동 191-126,서울,중랑구
5,면목3호,서울 중랑구 면목동 1096-16,서울,중랑구
6,묵동,서울 중랑구 묵동 238-90,서울,중랑구
7,상봉1호,서울 중랑구 상봉1동 268-34,서울,중랑구
8,신내1호,서울 중랑구 신내1동 571-26 1층 상가,서울,중랑구
