,name,address,sido,gugun
0,광주북구동림점,광주 북구 동림용산로,광주북구,동림용산로
1,전남목포시하당1점,전남 목포시 백년대로,전남목포시,백년대로
2,광주서구금호점,광주 서구 금화로,광주서구,금화로
3,전남목포시용해점,전남 목포시 용당로,전남목포시,용당로
4,전남목포시연산점,전남 목포시 원산로,전남목포시,원산로
5,전남보성군보성점,전남 보성군 보성읍 중앙로,전남보성군,보성읍중앙로
6,전남목포시하당2점,전남 목포시 삼향천로,전남목포시,삼향천로
7,광주북구일곡점,광주 북구 송해로,광주북구,송해로
8,광주서구풍암점,광주 서구 풍암신암로,광주서구,풍암신암로
9,전남화순군화순점,전남 화순군 화순읍 만연로,전남화순군,화순읍만연로
10,광주광산구첨단1호점,광주 광산구 산월로,광주광산구,산월로
11,광주북구용봉점,광주 북구 설죽로,광주북구,설죽로
12,광주북구양산점,광주 북구 양산택지로,광주북구,양산택지로
13,광주남구진월점,광주 남구 서문대로,광주남구,서문대로
14,광주광산구송정1점,광주 광산구 남동길,광주광산구,남동길
15,광주서구화정1점,광주 서구 염화로,광주서구,염화로
16,전남고흥군고흥점,전남 고흥군 고흥읍 봉황길,전남고흥군,고흥읍봉황길
17,광주북구두암1점,광주 북구 삼정로,광주북구,삼정로
18,광주서구쌍촌1점,광주 서구 상일로,광주서구,상일로
19,전남해남군해남점,전남 해남군 해남읍 중앙로,전남해남군,해남읍중앙로
20,광주남구방림양림점,광주 남구 방림로,광주남구,방림로
21,광주남구주월점,광주 남구 회서로,광주남구,회서로
22,광주북구중흥점,광주 북구 용봉로,광주북구,용봉로
23,전남보성군벌교점,전남 보성군 벌교읍 채동선로,전남보성군,벌교읍채동선로
24,광주광산구수완1점,광주 광산구 장덕로,광주광산구,장덕로
25,광주동구학동점,광주 동구 천변우로,광주동구,천변우로
26,전남완도군완도점,전남 완도군 완도읍 개포로,전남완도군,완도읍개포로
27,광주남구월산까치점,광주 남구 독립로,광주남구,독립로
28,전남장흥군장흥점,전남 장흥군 장흥읍 북부로,전남장흥군,장흥읍북부로
29,전남함평군함평점,전남 함평군 함평읍 중앙길,전남함평군,함평읍중앙길
30,전남목포시석현점(B),전남 목포시 텃골로,전남목포시,텃골로
31,전남진도군진도점,전남 진도군 진도읍 남문길,전남진도군,진도읍남문길
32,광주남구효천점,광주 남구 효우로,광주남구,효우로
33,광주광산구선운점,광주 광산구 선운중앙로,광주광산구,선운중앙로
34,전남나주시영산포점,전남 나주시 남교길,전남나주시,남교길
35,전남해남군우수영점,전남 해남군 문내면 동영길,전남해남군,문내면동영길
36,전남고흥군녹동점,전남 고흥군 도양읍 비봉로,전남고흥군,도양읍비봉로
37,광주북구문흥점,광주 북구 면앙로,광주북구,면앙로
38,광주남구봉선1점,광주 남구 봉선로,광주남구,봉선로
39,광주광산구신가점,광주 광산구 신창로,광주광산구,신창로
40,전남무안군남악점,전남 무안군 삼향읍 남악로,전남무안군,삼향읍남악로
41,전남목포시삼학점,전남 목포시 산정로,전남목포시,산정로
42,전남나주시나주혁신도시점,전남 나주시 빛가람로,전남나주시,빛가람로
43,광주북구첨단2지구점,광주 북구 임방울대로,광주북구,임방울대로
44,광주동구산수점,광주 동구 산수길 33,광주동구,산수길33
45,전남나주시나주점,전남 나주시 나주로,전남나주시,나주로
46,전남영암군삼호점,전남 영암군 삼호읍 대불주거로,전남영암군,삼호읍대불주거로
47,광주광산구산정점,광주 광산구 하남대로,광주광산구,하남대로
48,광주서구동천점,광주 서구 동천로,광주서구,동천로
49,전남담양군담양점,전남 담양군 담양읍 죽향대로,전남담양군,담양읍죽향대로
50,광주서구상무점,광주 서구 상무평화로,광주서구,상무평화로
51,광주광산구우산소촌점(B),광주 광산구 무진대로,광주광산구,무진대로
52,광주북구신안점,광주 북구 중가로,광주북구,중가로
53,제주제주시노형점,제주 제주시 원노형로,제주제주시,원노형로
54,제주제주시외도점,제주 제주시 우령2길,제주제주시,우령2길
55,제주제주시화북삼양점,제주 제주시 진남로,제주제주시,진남로
56,제주서귀포시서귀포1점,제주 서귀포시 일주동로,제주서귀포시,일주동로
57,제주서귀포시성산점,제주 서귀포시 성산읍 고성동서로,제주서귀포시,성산읍고성동서로
58,제주서귀포시서귀포2호점,제주 서귀포시 장수로,제주서귀포시,장수로
59,제주제주시도남점,제주 제주시 독짓골길,제주제주시,독짓골길
60,제주서귀포시강정해군기지점,제주 서귀포시 강정동,제주서귀포시,강정동
61,제주서귀포시신시가지점,제주 서귀포시 신북로,제주서귀포시,신북로
62,제주서귀포시대정점,제주 서귀포시 대정읍 하모항구로6번길,제주서귀포시,대정읍하모항구로6번길
63,제주서귀포시표선점,제주 서귀포시 표선면 표선동서로,제주서귀포시,표선면표선동서로
64,제주제주시일도점,제주 제주시 청귤로,제주제주시,청귤로
65,제주제주시연동점,제주 제주시 연동길,제주제주시,연동길
66,제주제주시한림점,제주 제주시 한림읍 한림로,제주제주시,한림읍한림로
67,제주제주시아라점,제주 제주시 중앙로,제주제주시,중앙로
68,제주제주시조천함덕점,제주 제주시 조천읍 함덕길,제주제주시,조천읍함덕길
69,제주서귀포시화순안덕점,제주 서귀포시 안덕면 일주서로,제주서귀포시,안덕면일주서로
70,제주제주시용담점,제주 제주시 용문로,제주제주시,용문로
